measure,name,short_description,description,label,group_id,investment_cost,investment_cost_year,investment_annual_maintenance,life_span,investment_units_per_cow,investment_units_per_farm,reference_farm_size,labor_hours_per_cow_installation,labor_hours_per_cow_annual,consumable_type_01,consumable_type_01_per_cow,consumable_type_01_cost_per_unit,source,comment
cow_lying_area_hygiene,Hygiene (cow lying area),Extra cleaning,"Three extra cleanings per week in lactating cows' lying area (Assumption: Baseline = 2 h/cow/yr = 0.33 min/cow/day for cubicle cleaning (Benz et al., 2024))",labor_only,,,,,,,,,,0.763,,,,"Benz et al., 2024",
dedicated_calving_area,Dedicated calving area,New building,New building - common area for multiple cows. 20600 kr per cow (2015 prices),investment_capacity,,20600,2015,,20,0.04,,,,,,,,LBST,Danish legislation: 4 spaces per 100 cows
dedicated_calving_area,Dedicated calving area,Renovating (deep litter),Renovating: Floor type deep litter- common area for multiple cows. 11336 kr per cow (2015 prices),investment_capacity,,11336,2015,,20,0.04,,,,,,,,LBST,Danish legislation: 4 spaces per 100 cows
dedicated_calving_area,Dedicated calving area,Renovating (hardware),Renovating: Hardware in existing area - common area for multiple cows. 7856 kr per cow (2015 prices),investment_capacity,,7856,2015,,15,0.04,,,,,,,,LBST,Danish legislation: 4 spaces per 100 cows
secure_fencing,Secure fencing,Build rope fencing,Building new 2 rope fence. Assuming 0.15 ha per cow = 7 cows per ha. Fencing one ha = 400 meters. Including work hours for building fence (30 minutes/100m). Materials (VikShop) = 10 kr/m + hours = 0.3 minutes/m - hourly rate = 200 kr = 1 kr/m,mixed_investment_labor,,10,2026,,10,60,,,0.3,,,,,VikShop,
external_personnel_hygiene,Hygiene (external personnel),Providing boots and clothing,"Focus on preventing/minimising risk of external personel being vectors of disease by providing boots & clothing. Assumption for a 200 cow herd: 10 pairs of boots, 30 smocks. Assuming 200 cow herd",investment_capacity,,62.1,2026,,2,1,,,,,,,,VikShop,
external_personnel_hygiene,Hygiene (external personnel),Dedicated hygiene,"Focus on preventing/minimising risk of external personel being vectors of disease by building dedicated hygeine area (8 m2) in existing building, incl. Sanity ware and providing boots & clothing. Assuming 200 cow herd. 5000 per m2 (2015 prices)",investment_capacity,,5000,2015,,15,0.04,,,,,,,,LBST,
quarantine_sick,Quarantine (sick animals),New building,New building (equivalent to calving pen).,investment_capacity,,30900,2015,,20,0.01,,,,,,,,LBST,Danish legislation: 1 pen per 100 cows
quarantine_sick,Quarantine (sick animals),Renovating (deep litter),Renovating: Floor type deep litter  (equivalent to calving pen). ,investment_capacity,,17004,2015,,20,0.01,,,,,,,,LBST,Danish legislation: 1 pen per 100 cows
quarantine_sick,Quarantine (sick animals),Renovating (hardware),Renovating: Hardware in existing area (equivalent to calving pen). ,investment_capacity,,11784,2015,,15,0.01,,,,,,,,LBST,Danish legislation: 1 pen per 100 cows
quarantine_purchased,Quarantine (purchased),New building,Cows: New building  (equivalent to calving pen). ,investment_capacity_grouped,quarantine_combined_nb,30900,2015,,20,0.01,,,,,,,,LBST,No legislation - assuming 1 per 100 cows
quarantine_purchased,Quarantine (purchased),Renovating (deep litter),Cows: Renovating: Floor type deep litter  (equivalent to calving pen). ,investment_capacity_grouped,quarantine_combined_dl,17004,2015,,20,0.01,,,,,,,,LBST,No legislation - assuming 1 per 100 cows
quarantine_purchased,Quarantine (purchased),Renovating (hardware),Cows: Renovating: Hardware in existing area (equivalent to calving pen). ,investment_capacity_grouped,quarantine_combined_hw,11784,2015,,15,0.01,,,,,,,,LBST,No legislation - assuming 1 per 100 cows
quarantine_purchased,Quarantine (purchased),New building,Calves: New building (equivalent to separate calf housing),investment_capacity_grouped,quarantine_combined_nb,13285,2015,,10,0.02,,,,,,,,LBST,No legislation - assuming 2 per 100 cows
quarantine_purchased,Quarantine (purchased),Renovating (deep litter),Calves: Renovating: Floor type deep litter,investment_capacity_grouped,quarantine_combined_dl,7307,2015,,15,0.02,,,,,,,,LBST,No legislation - assuming 2 per 100 cows
quarantine_purchased,Quarantine (purchased),Renovating (hardware),Calves: Renovating: Hardware in existing area,investment_capacity_grouped,quarantine_combined_hw,3383,2015,,10,0.02,,,,,,,,LBST,No legislation - assuming 2 per 100 cows
wildlife_pest_control,Wildlife and pest control,Routine pest control visits,"Routinely visits of pest control, e.g. Rentokil. A typical Danish 200 cow herd would have 15-20 stations in a farm and 4 visits per year. Including materials a typical visit costs 2.000 kr",variable_nonlabor,,,2026,,,,,,,,pest_control_service,1,40,Rentokil,
preweaned_calf_separation,Preweaned calf separation,New building,New building (equivalent to separate calf  housing),investment_capacity,,13285,2015,,10,0.0935,,,,,,,,LBST,
preweaned_calf_separation,Preweaned calf separation,Renovating (deep litter),Renovating: Floor type deep litter (equivalent to separate calf  housing),investment_capacity,,7307,2015,,15,0.0935,,,,,,,,LBST,
preweaned_calf_separation,Preweaned calf separation,Renovating (hardware),Renovating: Hardware in existing area (equivalent to separate calf  housing),investment_capacity,,3383,2015,,10,0.0935,,,,,,,,LBST,
water_course_security,Water course security,Build rope fencing around water course,"Fencing to avoid contact with water course.  Building new 2 rope fence. Assuming same costs per meter as in secure_fencing = 11 kr/m. Also, establishment of water throughs on pasture with water from barn. Assumptions: 200 cows herd, 1000m fence  300 meter distance from main water source, daily water intake per cow: 60L, reinforced area around troughs, installation and materials. Water supplpy and pumpsystem = 55.000(Water supply and pump = 20.000 kr, 300 m pipeline = 20.000 kr, work = 15.000), water troughs, 4 stations = 25.000 kr, reinforced area (gravel layer) around troughs 30 m2 each = 50.000 kr, installation and tehnical costs = 30.000. Total = 160.000 kr + 1000 m fencing",investment_capacity,,855,2026,,10,1,,,,,,,,VikShop,"You should maybe also add a variable cost for extra the water supply needed during the six months grazing - instead of cows drinking from a natural water source. A cow consumption of 60 L/d means 60*120*200 = 1.440 m3 per grazing season. The Danish price is ~8 kr. pr. m3 + fixed charges (up to 70 kr./m3). However, if water is used for animal drinking, the farmer can get a substantial reduction in the waterwaste charge. THIS IS NOT YET INCLUDED..."
water_course_security,Water course security,Extra feed and labor,"Not able to use low-land for grazing youngstock implies extra feed costs and workload. Feed cost, youngstock = 7.30 kr/d, other costs (straw etc) 1.09 kr./d,  workload = 9h/heifer year = 1.5 minute/d.  Assuming 120 grazing days, youngstock grazing in the age 6-24 months.  Period 6-24 months = 0.75 calf year - 120 days of grazing = 0.25 year. 1.1 calf per cow year. *** By Phil: Daily costs (kr/day) and labor (min/day) are converted to annual per cow-year values by multiplying by 365 days and the combined exposure factor (0.75 × 0.25 × 1.1), reflecting time in age group, grazing period, and calves per cow-year.",mixed_variable_labor,,,,,,,,,,1.88,extra_feed_and_housing,75.28,8.39,Assumed,I have prioritised youngstock here as they are most likely to be grazed on low-lands. An alternative could be to have scenario where cows cannot go to pasture - or a fourth scenario where both groups has to be housed
heifer_cow_cograzing,No heifer-cow cograzing,Only cows graze (extra feed and labor),"Letting only cows graze implies extra feed costs and workload for housing youngstock during the grazing season. Feed cost, youngstock = 7.30 kr/d, other costs (straw etc) 1.09 kr./d,  workload = 9h/heifer year = 1.5 minute/d. Assuming 120 grazing days, youngstock grazing in the age 6-24 months.  Period 6-24 months = 0.75 calf year - 120 days of grazing = 0.25 year. 1.1 calf per cow year.",mixed_variable_labor,,,,,,,,,,1.88,extra_feed_and_housing,75.28,8.39,Assumed,
heifer_cow_cograzing,No heifer-cow cograzing,Only heifers graze (extra feed and labor),"Letting only heifers graze implies extra feed costs and workload for housing cows during the grazing season. Feed cost, cows = 34 kr/d. Assumption: Milk yield 11.000 kg, Cows get 20% of energy intake from grazing and are grazed 6 hours/d. No difference in other costs or workload since grazing cows are still housed during nights and are milked as usual. Assuming 120 grazing days",variable_nonlabor,,,,,,,,,,,extra_feed_cows,120,6.8,Assumed,
